brand_name,active_ingredient,generic_name,use_case,side_effects,price,manufacturer,precautions,strength,dosage_form,is_otc,schedule,age_group,interactions,contraindications,hindi_name
Mox 500,Amoxicillin,Amoxicillin,Bacterial infections,Allergic reactions; Diarrhea,65.0,Sun Pharmaceutical,Inform doctor if allergic to penicillin,500 mg,Tablet,False,H,adult,May reduce effectiveness of oral contraceptives; report rashes.,Hypersensitivity to penicillins.,एमोक्सीसिलिन
Augmentin 375,Amoxicillin + Clavulanic Acid,Amoxicillin + Clavulanic Acid,Bacterial infections,Diarrhea; Rash,110.0,GlaxoSmithKline,Take with meals,375 mg,Tablet,False,H,adult,GI upset common; take with food; watch for allergic reactions.,History of cholestatic jaundice/hepatic dysfunction with augmentin use.,
Clavam 625,Amoxicillin + Clavulanic Acid,Amoxicillin + Clavulanic Acid,Bacterial infections,Stomach upset; Diarrhea,125.0,Alkem Laboratories,Take with food,625 mg,Tablet,False,H,adult,GI upset common; take with food; watch for allergic reactions.,History of cholestatic jaundice/hepatic dysfunction with augmentin use.,
Moxclav 625,Amoxicillin + Clavulanic Acid,Amoxicillin + Clavulanic Acid,Skin/Resp infections,Diarrhea; Fatigue,128.0,Sun Pharmaceutical,Complete the course,625 mg,Tablet,False,H,adult,GI upset common; take with food; watch for allergic reactions.,History of cholestatic jaundice/hepatic dysfunction with augmentin use.,
Augmentin DS Dry Syrup,Amoxicillin + Clavulanic Acid,Amoxicillin + Clavulanic Acid,Bacterial infections (pediatric),Diarrhea; Rash,130.0,Generic,Reconstitute and refrigerate; complete full course,125/31.25 mg per 5 ml,Suspension,False,H,pediatric,GI upset common; take with food; watch for allergic reactions.,History of cholestatic jaundice/hepatic dysfunction with augmentin use.,एमोक्सीसिलिन + क्लेवुलैनिक एसिड
Clavam DS Dry Syrup,Amoxicillin + Clavulanic Acid,Amoxicillin + Clavulanic Acid,Bacterial infections (pediatric),Diarrhea; Rash,130.0,Generic,Reconstitute and refrigerate; complete full course,125/31.25 mg per 5 ml,Suspension,False,H,pediatric,GI upset common; take with food; watch for allergic reactions.,History of cholestatic jaundice/hepatic dysfunction with augmentin use.,एमोक्सीसिलिन + क्लेवुलैनिक एसिड
Moxclav DS Dry Syrup,Amoxicillin + Clavulanic Acid,Amoxicillin + Clavulanic Acid,Bacterial infections (pediatric),Diarrhea; Rash,130.0,Generic,Reconstitute and refrigerate; complete full course,125/31.25 mg per 5 ml,Suspension,False,H,pediatric,GI upset common; take with food; watch for allergic reactions.,History of cholestatic jaundice/hepatic dysfunction with augmentin use.,एमोक्सीसिलिन + क्लेवुलैनिक एसिड
Augmentin 625,Amoxicillin + Clavulanic Acid,Amoxicillin + Clavulanic Acid,Bacterial infections,Diarrhea; Nausea; Rash,135.0,GlaxoSmithKline,Complete full course even if feeling better,625 mg,Tablet,False,H,adult,GI upset common; take with food; watch for allergic reactions.,History of cholestatic jaundice/hepatic dysfunction with augmentin use.,
Aspent 75,Aspirin,Aspirin,Antiplatelet therapy,Bleeding risk,7.2,Alkem Laboratories,Take with food,75 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Ecosprin 75,Aspirin,Aspirin,Heart attack prevention,Bleeding; Stomach issues,8.5,USV Limited,Daily use as prescribed by doctor,75 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Disprin,Aspirin,Aspirin,Pain relief and blood thinner,Stomach upset; Bleeding,15.0,Reckitt Benckiser,Avoid if allergic to aspirin,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Ecosprin AV 75/10,Aspirin + Atorvastatin,Aspirin + Atorvastatin,Heart protection + cholesterol,Bleeding; Muscle pain,95.0,USV Limited,Take with food,75 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
Atorva ASP 75/10,Aspirin + Atorvastatin,Aspirin + Atorvastatin,Cardio protection,Dyspepsia; Muscle pain,102.0,Zydus,Monitor for bleeding,75 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
Atenolol 50,Atenolol,Atenolol,High blood pressure and heart conditions,Fatigue; Cold extremities,15.0,Generic,Do not stop abruptly,50 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Aten-AM,Atenolol + Amlodipine,Atenolol + Amlodipine,Hypertension combo,Fatigue; Swelling,82.0,Intas,Do not stop suddenly,Unknown,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Atorvastatin 10,Atorvastatin,Atorvastatin,High cholesterol,Muscle pain; Liver enzyme elevation,42.0,Generic,Regular lipid profile needed,10 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
Atorva 10,Atorvastatin,Atorvastatin,High cholesterol,Headache; Nausea,48.0,Zydus Cadila,Take at night,10 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
Lipitor 10,Atorvastatin,Atorvastatin,High cholesterol,Muscle weakness; Digestive issues,85.0,Pfizer,Avoid grapefruit juice,10 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
Atorlip EZ 10/10,Atorvastatin + Ezetimibe,Atorvastatin + Ezetimibe,High cholesterol,Muscle pain; Diarrhea,165.0,Sun Pharmaceutical,Check liver enzymes periodically,10 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
Azincure 500,Azithromycin,Azithromycin,Respiratory infections,Diarrhea; Nausea,82.0,Intas,Take once daily,500 mg,Tablet,False,H1,adult,QT prolongation risk with other QT-prolonging drugs.,Known QT prolongation; severe hepatic impairment.,एज़िथ्रोमाइसिन
Azee 500,Azithromycin,Azithromycin,Bacterial infections,Nausea; Vomiting,88.0,Cipla,Take on empty stomach,500 mg,Tablet,False,H1,adult,QT prolongation risk with other QT-prolonging drugs.,Known QT prolongation; severe hepatic impairment.,एज़िथ्रोमाइसिन
AZM Kid,Azithromycin,Azithromycin,Bacterial infections (pediatric),Nausea; Diarrhea,95.0,Generic,Dose once daily; complete course,100 mg/5 ml,Suspension,False,H1,pediatric,QT prolongation risk with other QT-prolonging drugs.,Known QT prolongation; severe hepatic impairment.,एज़िथ्रोमाइसिन
Azee Suspension,Azithromycin,Azithromycin,Bacterial infections (pediatric),Nausea; Diarrhea,95.0,Generic,Dose once daily; complete course,100 mg/5 ml,Suspension,False,H1,pediatric,QT prolongation risk with other QT-prolonging drugs.,Known QT prolongation; severe hepatic impairment.,एज़िथ्रोमाइसिन
Azithral 500,Azithromycin,Azithromycin,Bacterial infections,Diarrhea; Nausea; Stomach pain,95.0,Alembic Pharmaceuticals,Complete full course,500 mg,Tablet,False,H1,adult,QT prolongation risk with other QT-prolonging drugs.,Known QT prolongation; severe hepatic impairment.,एज़िथ्रोमाइसिन
Azithral Liquid,Azithromycin,Azithromycin,Bacterial infections (pediatric),Nausea; Diarrhea,95.0,Generic,Dose once daily; complete course,100 mg/5 ml,Suspension,False,H1,pediatric,QT prolongation risk with other QT-prolonging drugs.,Known QT prolongation; severe hepatic impairment.,एज़िथ्रोमाइसिन
Zithromax,Azithromycin,Azithromycin,Bacterial infections,Stomach upset; Diarrhea,105.0,Pfizer,Do not skip doses,Unknown,Tablet,False,H1,adult,QT prolongation risk with other QT-prolonging drugs.,Known QT prolongation; severe hepatic impairment.,एज़िथ्रोमाइसिन
Neurobion Forte,B1+B6+B12,B1+B6+B12,B vitamin deficiency,Nausea (rare),38.0,Merck,Daily once after meals,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Vertin 16,Betahistine,Betahistine,Vertigo; Meniere's disease,Stomach upset; Headache,85.0,Abbott,Take with meals,16 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Betnesol 0.5,Betamethasone,Betamethasone,Severe allergies and inflammation,Fluid retention; High BP,15.0,GlaxoSmithKline,Short-term use preferred,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Betnovate Cream,Betamethasone,Betamethasone,Skin conditions,Local skin reactions,85.0,GlaxoSmithKline,Not for face without prescription,Unknown,Cream,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Concor 5,Bisoprolol,Bisoprolol,Hypertension; Heart failure,Fatigue; Cold extremities,78.0,Merck,Monitor heart rate,5 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Budecort 100,Budesonide,Budesonide,Asthma maintenance,Oral thrush; Hoarseness,245.0,Cipla,Rinse mouth after use,100 mcg,Inhaler,False,H,both,Rinse mouth after use to prevent thrush; minimal systemic interactions.,Untreated oral fungal infections.,बुडे़सोनाइड
Budesonide Inhaler,Budesonide,Budesonide,Asthma maintenance,Oral thrush; Hoarseness,245.0,Generic,Rinse mouth after every use,Unknown,Inhaler,False,H,both,Rinse mouth after use to prevent thrush; minimal systemic interactions.,Untreated oral fungal infections.,बुडे़सोनाइड
Budecort Inhaler,Budesonide,Budesonide,Asthma maintenance,Throat irritation; Cough,265.0,Cipla,Regular use needed for effectiveness,Unknown,Inhaler,False,H,both,Rinse mouth after use to prevent thrush; minimal systemic interactions.,Untreated oral fungal infections.,बुडे़सोनाइड
Budecort 200,Budesonide,Budesonide,Asthma maintenance,Oral thrush; Hoarseness,295.0,Cipla,Rinse mouth after use,200 mcg,Inhaler,False,H,both,Rinse mouth after use to prevent thrush; minimal systemic interactions.,Untreated oral fungal infections.,बुडे़सोनाइड
Caladryl Lotion,Calamine + Diphenhydramine,Calamine + Diphenhydramine,Skin itching; Rashes,Dryness; Pink stain,75.0,Pfizer,External use only,Unknown,Lotion,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Calcimax 500,Calcium + Vitamin D3,Calcium Carbonate + Cholecalciferol,Bone health,Constipation; Gas,58.0,Mead Johnson,Take with meals,500 IU,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Shelcal HD,Calcium + Vitamin D3,Calcium Carbonate + Cholecalciferol,Bone health in elderly,Constipation; Bloating,88.0,Elder Pharma,Adequate water intake,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Calcium Carbonate 500,Calcium Carbonate,Calcium Carbonate,Calcium deficiency,Constipation; Bloating,35.0,Generic,Take with food,500 IU,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Shelcal 500,Calcium Carbonate + Vitamin D3,Calcium + D3,Bone health,Constipation; Gas,48.0,Elder Pharma,Adequate water intake needed,500 IU,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Calcium Sandoz,Calcium Lactate Gluconate,Calcium Lactate Gluconate,Calcium supplementation,Stomach upset,95.0,Novartis,Dissolve in water,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Carloc 6.25,Carvedilol,Carvedilol,Hypertension; Heart failure,Dizziness; Hypotension,66.0,Cipla,Take with food,6.25 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Taxim-O 200,Cefixime,Cefixime,Respiratory/UTI infections,Diarrhea; Rash,145.0,Alkem,Complete full course,200 mg,Tablet,False,H1,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,सेफिक्सिम
Zifi 200,Cefixime,Cefixime,Bacterial infections,Diarrhea; Nausea,165.0,FDC,Complete full course,200 mg,Tablet,False,H1,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,सेफिक्सिम
Suprax 200,Cefixime,Cefixime,Bacterial infections,Stomach upset; Headache,175.0,Lupin,Take with/without food,200 mg,Tablet,False,H1,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,सेफिक्सिम
Cefodox Dry Syrup,Cefpodoxime,Cefpodoxime,Bacterial infections (pediatric),Diarrhea; Abdominal pain,155.0,Generic,Give with food,50 mg/5 ml,Suspension,False,H1,pediatric,Reduced absorption with antacids; take with food.,Hypersensitivity to cephalosporins.,सेफपोडोक्सिम
Cefoprox Suspension,Cefpodoxime,Cefpodoxime,Bacterial infections (pediatric),Diarrhea; Abdominal pain,155.0,Generic,Give with food,50 mg/5 ml,Suspension,False,H1,pediatric,Reduced absorption with antacids; take with food.,Hypersensitivity to cephalosporins.,सेफपोडोक्सिम
Cefpod DS,Cefpodoxime,Cefpodoxime,Bacterial infections (pediatric),Diarrhea; Abdominal pain,155.0,Generic,Give with food,50 mg/5 ml,Suspension,False,H1,pediatric,Reduced absorption with antacids; take with food.,Hypersensitivity to cephalosporins.,सेफपोडोक्सिम
Cefoprox 200,Cefpodoxime,Cefpodoxime,Respiratory infections,Diarrhea; Flatulence,190.0,Cipla,Take with food,200 mg,Tablet,False,H1,adult,Reduced absorption with antacids; take with food.,Hypersensitivity to cephalosporins.,सेफपोडोक्सिम
Cefodox 200,Cefpodoxime,Cefpodoxime,ENT/Respiratory infections,Nausea; Abdominal pain,210.0,Lupin,Maintain hydration,200 mg,Tablet,False,H1,adult,Reduced absorption with antacids; take with food.,Hypersensitivity to cephalosporins.,सेफपोडोक्सिम
Ceftum 500,Cefuroxime,Cefuroxime,Respiratory infections,Diarrhea; Nausea,250.0,GlaxoSmithKline,Take after meals if nauseous,500 mg,Tablet,False,H1,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Zinnat 500,Cefuroxime,Cefuroxime,Sinusitis; Pneumonia,Stomach pain; Rash,265.0,Abbott,Complete course,500 mg,Tablet,False,H1,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Cetirizine 10,Cetirizine,Cetirizine,Allergies and hay fever,Drowsiness; Dry mouth,15.0,Generic,Non-drowsy for most people,10 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,सेटिरीज़ीन
Cetrine 10,Cetirizine,Cetirizine,Allergies and hay fever,Minimal drowsiness,18.0,Cipla,Safe for long-term use,10 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,सेटिरीज़ीन
Zyrtec 10,Cetirizine,Cetirizine,Allergies and hay fever,Fatigue; Headache,45.0,GlaxoSmithKline,Once daily dosing,10 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,सेटिरीज़ीन
Vitamin D3 60K,Cholecalciferol,Cholecalciferol,Vitamin D deficiency,Rare at recommended doses,45.0,Generic,Weekly or monthly dose,"60,000 IU",Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Uprise D3,Cholecalciferol,Cholecalciferol,Vitamin D deficiency,Constipation (rare),52.0,Alkem Laboratories,Take with fatty meal,Unknown,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Uprise D3 60K,Cholecalciferol,Cholecalciferol,Vitamin D deficiency,Rare side effects,78.0,Alkem,Once weekly dose,"60,000 IU",Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Zytee RB,Choline Salicylate + Lignocaine,Choline Salicylate + Lignocaine,Mouth ulcers pain relief,Local irritation (rare),68.0,Raptakos Brett,Apply after meals,Unknown,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Ciprofloxacin 500,Ciprofloxacin,Ciprofloxacin,Bacterial infections,Nausea; Dizziness; Tendon problems,45.0,Generic,Avoid dairy products,500 mg,Tablet,False,H1,adult,Risk of tendon rupture; avoid with steroids if possible.,History of tendinopathy with quinolones.,
Cifran 500,Ciprofloxacin,Ciprofloxacin,Bacterial infections,Stomach upset; Headache,52.0,Sun Pharmaceutical,Stay hydrated,500 mg,Tablet,False,H1,adult,Risk of tendon rupture; avoid with steroids if possible.,History of tendinopathy with quinolones.,
Tenovate Cream,Clobetasol,Clobetasol,Severe skin inflammation,Skin thinning; Irritation,85.0,GlaxoSmithKline,Short-term use only,Unknown,Cream,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Clonazepam 0.5,Clonazepam,Clonazepam,Seizures and anxiety,Drowsiness; Dizziness,18.0,Generic,May cause dependence,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Rivotril 0.5,Clonazepam,Clonazepam,Seizures and anxiety,Memory impairment; Fatigue,35.0,Roche,Gradual dose reduction needed,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Clopidogrel 75,Clopidogrel,Clopidogrel,Blood clot prevention,Bleeding; Bruising,28.0,Generic,Report unusual bleeding,75 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Deplatt 75,Clopidogrel,Clopidogrel,Blood clot prevention,Nosebleeds; Rash,32.0,Torrent Pharma,Avoid injuries,75 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Plavix 75,Clopidogrel,Clopidogrel,Blood clot prevention,Stomach pain; Headache,145.0,Sanofi,Do not stop without consulting doctor,75 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Clopilet A 75/75,Clopidogrel + Aspirin,Clopidogrel + Aspirin,Post-stent dual therapy,Bleeding risk; Gastritis,120.0,Sun Pharmaceutical,Use under medical supervision,75 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Clotrimazole Cream,Clotrimazole,Clotrimazole,Fungal infections,Skin irritation; Burning,38.0,Generic,Apply twice daily,Unknown,Cream,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Candid Cream,Clotrimazole,Clotrimazole,Fungal infections,Redness; Itching (initial),45.0,Glenmark,Complete full course,Unknown,Cream,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Forxiga 10,Dapagliflozin,Dapagliflozin,Type 2 Diabetes,UTI; Increased urination,450.0,AstraZeneca,Maintain hydration,10 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Ascoril LS,Dextromethorphan + Levosalbutamol + Ambroxol,Dextromethorphan combo,Wet cough with spasm,Restlessness; Nausea,110.0,Glenmark,Shake well before use,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
TusQ-Dx,Dextromethorphan + Phenylephrine + CPM,Dextromethorphan combo,Dry cough relief,Drowsiness; Palpitations,98.0,Blue Cross,Avoid in hypertension,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Dicloran 50,Diclofenac,Diclofenac,Pain and inflammation,Nausea; Dizziness,28.0,Ipca,Use lowest effective dose,50 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Voveran 50,Diclofenac,Diclofenac,Pain relief and inflammation,Stomach upset; Heartburn; Edema,32.0,Novartis,Take with food; Avoid in ulcers,50 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Cyclopam,Dicyclomine + Paracetamol,Dicyclomine + Paracetamol,Abdominal cramps; Pain,Dry mouth; Drowsiness,52.0,Indoco,Do not exceed dose,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Benadryl Cough Syrup,Diphenhydramine + Ammonium Chloride + Sodium Citrate,Diphenhydramine combo,Dry cough relief,Drowsiness; Dry mouth,95.0,Johnson & Johnson,Avoid driving after dose,Unknown,Syrup,False,H,pediatric,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Domstal 10,Domperidone,Domperidone,Nausea; Gastroparesis,Dry mouth; Dizziness,35.0,Torrent,Avoid in heart rhythm disorders,10 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Doxt 100,Doxycycline,Doxycycline,Acne; Bacterial infections,Nausea; Sun sensitivity,58.0,Dr. Reddy's Laboratories,Take with water sitting up,100 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Doxy-1 100,Doxycycline,Doxycycline,Bacterial infections,Photosensitivity; Stomach upset,62.0,Cipla,Avoid dairy/antacids,1 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Drotaverine Hydrochloride,Drotaverine,Drotaverine,Abdominal spasm relief,Nausea; Headache,32.0,Various Generic Manufacturers,Consult doctor in pregnancy,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Drotikind,Drotaverine,Drotaverine,Abdominal spasm relief,Nausea; Headache,35.0,Mankind Pharma,Consult doctor in pregnancy,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Droverin,Drotaverine,Drotaverine,Abdominal spasm relief,Nausea; Headache,38.0,Alembic Pharmaceuticals,Consult doctor in pregnancy,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Drotin,Drotaverine,Drotaverine,Abdominal spasm relief,Nausea; Headache,40.0,Abbott,Consult doctor in pregnancy,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Duzela 30,Duloxetine,Duloxetine,Neuropathic pain; Depression,Nausea; Dry mouth,165.0,Sun Pharmaceutical,Do not stop abruptly,30 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Avodart 0.5,Dutasteride,Dutasteride,BPH management,Decreased libido; Dizziness,225.0,GlaxoSmithKline,Not for use in women/children,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Jardiance 10,Empagliflozin,Empagliflozin,Type 2 Diabetes,Genital infections; Thirst,520.0,Boehringer Ingelheim,Monitor kidneys,10 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Enam 5,Enalapril,Enalapril,Hypertension and heart failure,Cough; Dizziness,42.0,Dr. Reddy's Laboratories,Avoid in pregnancy,5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Escitalopram 10,Escitalopram,Escitalopram,Depression and anxiety,Nausea; Fatigue; Sexual dysfunction,55.0,Generic,Morning or evening dose,10 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Nexito 10,Escitalopram,Escitalopram,Depression and anxiety,Sweating; Sleep disturbances,62.0,Sun Pharmaceutical,Takes weeks to show effect,10 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Lexapro 10,Escitalopram,Escitalopram,Depression and anxiety,Dizziness; Dry mouth,125.0,Lundbeck,Avoid alcohol,10 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Nexpro 20,Esomeprazole,Esomeprazole,GERD and ulcers,Headache; Constipation,65.0,Torrent,Take 30 mins before meals,20 mg,Tablet,False,H,adult,May reduce absorption of some drugs; take before meals.,Hypersensitivity.,
Ovral L,Ethinyl Estradiol + Levonorgestrel,EE + Levonorgestrel,Oral contraceptive,Nausea; Spotting,135.0,Pfizer,Take daily at same time,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
