brand_name,active_ingredient,generic_name,use_case,side_effects,price,manufacturer,precautions,strength,dosage_form,is_otc,schedule,age_group,interactions,contraindications,hindi_name
Local Pharmacy Amoxicillin + Clavulanic Acid,Amoxicillin + Clavulanic Acid,Amoxicillin + Clavulanic Acid,Bacterial infections,Diarrhea; Nausea; Rash,82.23,Local Pharmacy,Complete full course even if feeling better,625 mg,Tablet,False,H,adult,GI upset common; take with food; watch for allergic reactions.,History of cholestatic jaundice/hepatic dysfunction with augmentin use.,
Moxclav 625,Amoxicillin + Clavulanic Acid,Amoxicillin + Clavulanic Acid,Skin/Resp infections,Diarrhea; Fatigue,128.0,Sun Pharmaceutical,Complete the course,625 mg,Tablet,False,H,adult,GI upset common; take with food; watch for allergic reactions.,History of cholestatic jaundice/hepatic dysfunction with augmentin use.,
Moxclav DS Dry Syrup,Amoxicillin + Clavulanic Acid,Amoxicillin + Clavulanic Acid,Bacterial infections (pediatric),Diarrhea; Rash,130.0,Generic,Reconstitute and refrigerate; complete full course,125/31.25 mg per 5 ml,Suspension,False,H,pediatric,GI upset common; take with food; watch for allergic reactions.,History of cholestatic jaundice/hepatic dysfunction with augmentin use.,एमोक्सीसिलिन + क्लेवुलैनिक एसिड
Aspent 75,Aspirin,Aspirin,Antiplatelet therapy,Bleeding risk,7.2,Alkem Laboratories,Take with food,75 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Disprin,Aspirin,Aspirin,Pain relief and blood thinner,Stomach upset; Bleeding,15.0,Reckitt Benckiser,Avoid if allergic to aspirin,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Ecosprin 75,Aspirin,Aspirin,Heart attack prevention,Bleeding; Stomach issues,8.5,USV Limited,Daily use as prescribed by doctor,75 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Aspirin,Aspirin,Aspirin,Pain relief and blood thinner,Stomach upset; Bleeding,6.38,Generic Manufacturer,Avoid if allergic to aspirin,75 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Aspirin,Aspirin,Aspirin,Pain relief and blood thinner,Stomach upset; Bleeding,5.53,Local Pharmacy,Avoid if allergic to aspirin,75 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Atorva ASP 75/10,Aspirin + Atorvastatin,Aspirin + Atorvastatin,Cardio protection,Dyspepsia; Muscle pain,102.0,Zydus,Monitor for bleeding,75 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
Ecosprin AV 75/10,Aspirin + Atorvastatin,Aspirin + Atorvastatin,Heart protection + cholesterol,Bleeding; Muscle pain,95.0,USV Limited,Take with food,75 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
Generic Aspirin + Atorvastatin,Aspirin + Atorvastatin,Aspirin + Atorvastatin,Heart protection + cholesterol,Bleeding; Muscle pain,73.88,Generic Manufacturer,Take with food,75 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
Local Pharmacy Aspirin + Atorvastatin,Aspirin + Atorvastatin,Aspirin + Atorvastatin,Heart protection + cholesterol,Bleeding; Muscle pain,64.03,Local Pharmacy,Take with food,75 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
Atenolol 50,Atenolol,Atenolol,High blood pressure and heart conditions,Fatigue; Cold extremities,15.0,Generic,Do not stop abruptly,50 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Generic Atenolol,Atenolol,Atenolol,High blood pressure and heart conditions,Fatigue; Cold extremities,11.25,Generic Manufacturer,Do not stop abruptly,50 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Local Pharmacy Atenolol,Atenolol,Atenolol,High blood pressure and heart conditions,Fatigue; Cold extremities,9.75,Local Pharmacy,Do not stop abruptly,50 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Aten-AM,Atenolol + Amlodipine,Atenolol + Amlodipine,Hypertension combo,Fatigue; Swelling,82.0,Intas,Do not stop suddenly,Unknown,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Generic Atenolol + Amlodipine,Atenolol + Amlodipine,Atenolol + Amlodipine,Hypertension combo,Fatigue; Swelling,61.5,Generic Manufacturer,Do not stop suddenly,Unknown,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Local Pharmacy Atenolol + Amlodipine,Atenolol + Amlodipine,Atenolol + Amlodipine,Hypertension combo,Fatigue; Swelling,53.3,Local Pharmacy,Do not stop suddenly,Unknown,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Atorva 10,Atorvastatin,Atorvastatin,High cholesterol,Headache; Nausea,48.0,Zydus Cadila,Take at night,10 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
Atorvastatin 10,Atorvastatin,Atorvastatin,High cholesterol,Muscle pain; Liver enzyme elevation,42.0,Generic,Regular lipid profile needed,10 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
Generic Atorvastatin,Atorvastatin,Atorvastatin,High cholesterol,Muscle pain; Liver enzyme elevation,36.0,Generic Manufacturer,Regular lipid profile needed,10 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
Lipitor 10,Atorvastatin,Atorvastatin,High cholesterol,Muscle weakness; Digestive issues,85.0,Pfizer,Avoid grapefruit juice,10 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
Local Pharmacy Atorvastatin,Atorvastatin,Atorvastatin,High cholesterol,Muscle pain; Liver enzyme elevation,31.2,Local Pharmacy,Regular lipid profile needed,10 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
Atorlip EZ 10/10,Atorvastatin + Ezetimibe,Atorvastatin + Ezetimibe,High cholesterol,Muscle pain; Diarrhea,165.0,Sun Pharmaceutical,Check liver enzymes periodically,10 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
Generic Atorvastatin + Ezetimibe,Atorvastatin + Ezetimibe,Atorvastatin + Ezetimibe,High cholesterol,Muscle pain; Diarrhea,123.75,Generic Manufacturer,Check liver enzymes periodically,10 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
Local Pharmacy Atorvastatin + Ezetimibe,Atorvastatin + Ezetimibe,Atorvastatin + Ezetimibe,High cholesterol,Muscle pain; Diarrhea,107.25,Local Pharmacy,Check liver enzymes periodically,10 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
AZM Kid,Azithromycin,Azithromycin,Bacterial infections (pediatric),Nausea; Diarrhea,95.0,Generic,Dose once daily; complete course,100 mg/5 ml,Suspension,False,H1,pediatric,QT prolongation risk with other QT-prolonging drugs.,Known QT prolongation; severe hepatic impairment.,एज़िथ्रोमाइसिन
Azee 500,Azithromycin,Azithromycin,Bacterial infections,Nausea; Vomiting,88.0,Cipla,Take on empty stomach,500 mg,Tablet,False,H1,adult,QT prolongation risk with other QT-prolonging drugs.,Known QT prolongation; severe hepatic impairment.,एज़िथ्रोमाइसिन
Azee Suspension,Azithromycin,Azithromycin,Bacterial infections (pediatric),Nausea; Diarrhea,95.0,Generic,Dose once daily; complete course,100 mg/5 ml,Suspension,False,H1,pediatric,QT prolongation risk with other QT-prolonging drugs.,Known QT prolongation; severe hepatic impairment.,एज़िथ्रोमाइसिन
Azincure 500,Azithromycin,Azithromycin,Respiratory infections,Diarrhea; Nausea,82.0,Intas,Take once daily,500 mg,Tablet,False,H1,adult,QT prolongation risk with other QT-prolonging drugs.,Known QT prolongation; severe hepatic impairment.,एज़िथ्रोमाइसिन
Azithral 500,Azithromycin,Azithromycin,Bacterial infections,Diarrhea; Nausea; Stomach pain,95.0,Alembic Pharmaceuticals,Complete full course,500 mg,Tablet,False,H1,adult,QT prolongation risk with other QT-prolonging drugs.,Known QT prolongation; severe hepatic impairment.,एज़िथ्रोमाइसिन
Azithral Liquid,Azithromycin,Azithromycin,Bacterial infections (pediatric),Nausea; Diarrhea,95.0,Generic,Dose once daily; complete course,100 mg/5 ml,Suspension,False,H1,pediatric,QT prolongation risk with other QT-prolonging drugs.,Known QT prolongation; severe hepatic impairment.,एज़िथ्रोमाइसिन
Generic Azithromycin,Azithromycin,Azithromycin,Bacterial infections,Diarrhea; Nausea; Stomach pain,68.62,Generic Manufacturer,Complete full course,500 mg,Tablet,False,H1,adult,QT prolongation risk with other QT-prolonging drugs.,Known QT prolongation; severe hepatic impairment.,एज़िथ्रोमाइसिन
Local Pharmacy Azithromycin,Azithromycin,Azithromycin,Bacterial infections,Diarrhea; Nausea; Stomach pain,59.48,Local Pharmacy,Complete full course,500 mg,Tablet,False,H1,adult,QT prolongation risk with other QT-prolonging drugs.,Known QT prolongation; severe hepatic impairment.,एज़िथ्रोमाइसिन
Zithromax,Azithromycin,Azithromycin,Bacterial infections,Stomach upset; Diarrhea,105.0,Pfizer,Do not skip doses,Unknown,Tablet,False,H1,adult,QT prolongation risk with other QT-prolonging drugs.,Known QT prolongation; severe hepatic impairment.,एज़िथ्रोमाइसिन
Generic B1+B6+B12,B1+B6+B12,B1+B6+B12,B vitamin deficiency,Nausea (rare),28.5,Generic Manufacturer,Daily once after meals,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy B1+B6+B12,B1+B6+B12,B1+B6+B12,B vitamin deficiency,Nausea (rare),24.7,Local Pharmacy,Daily once after meals,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Neurobion Forte,B1+B6+B12,B1+B6+B12,B vitamin deficiency,Nausea (rare),38.0,Merck,Daily once after meals,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Betahistine,Betahistine,Betahistine,Vertigo; Meniere's disease,Stomach upset; Headache,63.75,Generic Manufacturer,Take with meals,16 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Betahistine,Betahistine,Betahistine,Vertigo; Meniere's disease,Stomach upset; Headache,55.25,Local Pharmacy,Take with meals,16 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Vertin 16,Betahistine,Betahistine,Vertigo; Meniere's disease,Stomach upset; Headache,85.0,Abbott,Take with meals,16 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Betnesol 0.5,Betamethasone,Betamethasone,Severe allergies and inflammation,Fluid retention; High BP,15.0,GlaxoSmithKline,Short-term use preferred,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Betnovate Cream,Betamethasone,Betamethasone,Skin conditions,Local skin reactions,85.0,GlaxoSmithKline,Not for face without prescription,Unknown,Cream,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Betamethasone,Betamethasone,Betamethasone,Severe allergies and inflammation,Fluid retention; High BP,37.5,Generic Manufacturer,Short-term use preferred,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Betamethasone,Betamethasone,Betamethasone,Severe allergies and inflammation,Fluid retention; High BP,32.5,Local Pharmacy,Short-term use preferred,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Concor 5,Bisoprolol,Bisoprolol,Hypertension; Heart failure,Fatigue; Cold extremities,78.0,Merck,Monitor heart rate,5 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Generic Bisoprolol,Bisoprolol,Bisoprolol,Hypertension; Heart failure,Fatigue; Cold extremities,58.5,Generic Manufacturer,Monitor heart rate,5 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Local Pharmacy Bisoprolol,Bisoprolol,Bisoprolol,Hypertension; Heart failure,Fatigue; Cold extremities,50.7,Local Pharmacy,Monitor heart rate,5 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Budecort 100,Budesonide,Budesonide,Asthma maintenance,Oral thrush; Hoarseness,245.0,Cipla,Rinse mouth after use,100 mcg,Inhaler,False,H,both,Rinse mouth after use to prevent thrush; minimal systemic interactions.,Untreated oral fungal infections.,बुडे़सोनाइड
Budecort 200,Budesonide,Budesonide,Asthma maintenance,Oral thrush; Hoarseness,295.0,Cipla,Rinse mouth after use,200 mcg,Inhaler,False,H,both,Rinse mouth after use to prevent thrush; minimal systemic interactions.,Untreated oral fungal infections.,बुडे़सोनाइड
Budecort Inhaler,Budesonide,Budesonide,Asthma maintenance,Throat irritation; Cough,265.0,Cipla,Regular use needed for effectiveness,Unknown,Inhaler,False,H,both,Rinse mouth after use to prevent thrush; minimal systemic interactions.,Untreated oral fungal infections.,बुडे़सोनाइड
Budesonide Inhaler,Budesonide,Budesonide,Asthma maintenance,Oral thrush; Hoarseness,245.0,Generic,Rinse mouth after every use,Unknown,Inhaler,False,H,both,Rinse mouth after use to prevent thrush; minimal systemic interactions.,Untreated oral fungal infections.,बुडे़सोनाइड
Generic Budesonide,Budesonide,Budesonide,Asthma maintenance,Oral thrush; Hoarseness,191.25,Generic Manufacturer,Rinse mouth after every use,Unknown,Inhaler,False,H,both,Rinse mouth after use to prevent thrush; minimal systemic interactions.,Untreated oral fungal infections.,बुडे़सोनाइड
Local Pharmacy Budesonide,Budesonide,Budesonide,Asthma maintenance,Oral thrush; Hoarseness,165.75,Local Pharmacy,Rinse mouth after every use,Unknown,Inhaler,False,H,both,Rinse mouth after use to prevent thrush; minimal systemic interactions.,Untreated oral fungal infections.,बुडे़सोनाइड
Caladryl Lotion,Calamine + Diphenhydramine,Calamine + Diphenhydramine,Skin itching; Rashes,Dryness; Pink stain,75.0,Pfizer,External use only,Unknown,Lotion,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Calamine + Diphenhydramine,Calamine + Diphenhydramine,Calamine + Diphenhydramine,Skin itching; Rashes,Dryness; Pink stain,56.25,Generic Manufacturer,External use only,Unknown,Lotion,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Calamine + Diphenhydramine,Calamine + Diphenhydramine,Calamine + Diphenhydramine,Skin itching; Rashes,Dryness; Pink stain,48.75,Local Pharmacy,External use only,Unknown,Lotion,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Calcimax 500,Calcium + Vitamin D3,Calcium Carbonate + Cholecalciferol,Bone health,Constipation; Gas,58.0,Mead Johnson,Take with meals,500 IU,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Calcium + Vitamin D3,Calcium + Vitamin D3,Calcium Carbonate + Cholecalciferol,Bone health,Constipation; Gas,54.75,Generic Manufacturer,Take with meals,500 IU,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Calcium + Vitamin D3,Calcium + Vitamin D3,Calcium Carbonate + Cholecalciferol,Bone health,Constipation; Gas,47.45,Local Pharmacy,Take with meals,500 IU,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Shelcal HD,Calcium + Vitamin D3,Calcium Carbonate + Cholecalciferol,Bone health in elderly,Constipation; Bloating,88.0,Elder Pharma,Adequate water intake,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Calcium Carbonate 500,Calcium Carbonate,Calcium Carbonate,Calcium deficiency,Constipation; Bloating,35.0,Generic,Take with food,500 IU,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Calcium Carbonate,Calcium Carbonate,Calcium Carbonate,Calcium deficiency,Constipation; Bloating,26.25,Generic Manufacturer,Take with food,500 IU,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Calcium Carbonate,Calcium Carbonate,Calcium Carbonate,Calcium deficiency,Constipation; Bloating,22.75,Local Pharmacy,Take with food,500 IU,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Calcium Carbonate + Vitamin D3,Calcium Carbonate + Vitamin D3,Calcium + D3,Bone health,Constipation; Gas,36.0,Generic Manufacturer,Adequate water intake needed,500 IU,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Calcium Carbonate + Vitamin D3,Calcium Carbonate + Vitamin D3,Calcium + D3,Bone health,Constipation; Gas,31.2,Local Pharmacy,Adequate water intake needed,500 IU,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Shelcal 500,Calcium Carbonate + Vitamin D3,Calcium + D3,Bone health,Constipation; Gas,48.0,Elder Pharma,Adequate water intake needed,500 IU,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
