brand_name,active_ingredient,generic_name,use_case,side_effects,price,manufacturer,precautions
Allegra,Fexofenadine,Fexofenadine,Allergies; Urticaria,Headache; Drowsiness; Nausea,120.00,Sanofi,Non-drowsy option; Take with water
Avil,Pheniramine,Pheniramine,Allergic reactions; Runny nose,Drowsiness; Dry mouth,18.00,Sanofi,Causes drowsiness; Avoid driving
Pan 40,Pantoprazole,Pantoprazole,Acidity; GERD; Ulcers,Headache; Diarrhea; Nausea,75.00,Alkem Laboratories,Take before meals; Long-term use needs monitoring
Pantocid,Pantoprazole,Pantoprazole,Acid reflux; Stomach ulcers,Dizziness; Headache,68.00,Sun Pharma,Take 30 min before breakfast
Ranitidine,Ranitidine,Ranitidine,Heartburn; Acid indigestion,Headache; Constipation,35.00,Multiple,Avoid smoking and alcohol
Omez,Omeprazole,Omeprazole,Gastric ulcers; GERD,Nausea; Headache; Diarrhea,58.00,Dr Reddy's,Take before meals
Rantac,Ranitidine,Ranitidine,Acidity; Heartburn,Constipation; Headache,40.00,JB Chemicals,Reduce spicy food intake
Digene,Magnesium + Aluminium Hydroxide,Magnesium + Aluminium Hydroxide,Acidity; Heartburn; Gas,Constipation or Diarrhea,45.00,Abbott,Chew tablets; Do not exceed dose
Gelusil,Aluminium + Magnesium,Aluminium + Magnesium,Acidity; Indigestion,Constipation,38.00,Pfizer,Take after meals
Metformin,Metformin,Metformin,Type 2 Diabetes,Nausea; Diarrhea; Lactic acidosis (rare),12.00,Multiple,Take with meals; Monitor kidney function
Glycomet,Metformin,Metformin,Diabetes control,Stomach upset; Diarrhea,15.00,USV,Regular blood sugar monitoring required
Amaryl,Glimepiride,Glimepiride,Type 2 Diabetes,Hypoglycemia; Weight gain,45.00,Sanofi,Monitor blood sugar; Carry sugar source
Glynase,Gliclazide,Gliclazide,Type 2 Diabetes,Low blood sugar; Nausea,38.00,Torrent Pharma,Take before meals
Telma 40,Telmisartan,Telmisartan,High blood pressure,Dizziness; Headache,85.00,Glenmark,Monitor BP regularly; Rise slowly from sitting
Losar,Losartan,Losartan,Hypertension; Kidney protection,Dizziness; Fatigue; Hyperkalemia,62.00,Cipla,Regular BP monitoring
Amlong,Amlodipine,Amlodipine,High blood pressure; Angina,Swelling of ankles; Headache,48.00,Micro Labs,Avoid grapefruit juice
Stamlo,Amlodipine,Amlodipine,Hypertension,Edema; Fatigue; Flushing,52.00,Dr Reddy's,Take at same time daily
Atenolol,Atenolol,Atenolol,High BP; Angina,Fatigue; Cold extremities,25.00,Multiple,Do not stop suddenly
Concor,Bisoprolol,Bisoprolol,Heart failure; Hypertension,Fatigue; Bradycardia,95.00,Merck,Regular heart rate monitoring
Crestor,Rosuvastatin,Rosuvastatin,High cholesterol,Muscle pain; Headache; Nausea,280.00,AstraZeneca,Monitor liver function; Avoid with grapefruit
Atorva,Atorvastatin,Atorvastatin,High cholesterol; Heart disease,Muscle pain; Diarrhea,75.00,Zydus Cadila,Take at night; Regular lipid profile
Lipitor,Atorvastatin,Atorvastatin,Cholesterol management,Headache; Muscle aches,320.00,Pfizer,Avoid grapefruit; Monitor liver
Rozavel,Rosuvastatin,Rosuvastatin,High cholesterol,Muscle pain; Weakness,165.00,Sun Pharma,Take at night for best effect
Aspirin,Aspirin,Aspirin,Pain; Fever; Blood thinner,Stomach upset; Bleeding,10.00,Multiple,Take with food; Monitor bleeding
Clopidogrel,Clopidogrel,Clopidogrel,Prevent blood clots; Heart attack,Bleeding; Bruising easily,180.00,Multiple,Inform dentist/surgeon before procedures
Plavix,Clopidogrel,Clopidogrel,Stroke prevention,Bleeding; Stomach pain,420.00,Sanofi,Do not stop without consulting doctor
Levipil,Levetiracetam,Levetiracetam,Epilepsy; Seizures,Drowsiness; Weakness; Dizziness,165.00,Sun Pharma,Do not stop suddenly; Regular monitoring
Gardenal,Phenobarbital,Phenobarbital,Seizures; Epilepsy,Drowsiness; Confusion,28.00,Abbott,Highly sedative; Avoid alcohol
Neurontin,Gabapentin,Gabapentin,Nerve pain; Seizures,Dizziness; Drowsiness; Fatigue,240.00,Pfizer,Gradual dose adjustment needed
Voveran,Diclofenac,Diclofenac,Pain; Inflammation,Stomach upset; Dizziness,35.00,Novartis,Take with food; Avoid in heart disease
Voltaren,Diclofenac,Diclofenac,Arthritis; Pain,GI upset; Cardiovascular risk,85.00,Novartis,Monitor kidney and liver function
Movon,Diclofenac + Paracetamol,Diclofenac + Paracetamol,Severe pain; Inflammation,Nausea; Stomach pain,42.00,Lupin,Short-term use only
Duloxetine,Duloxetine,Duloxetine,Depression; Anxiety; Nerve pain,Nausea; Dry mouth; Drowsiness,185.00,Multiple,Do not stop abruptly
Nexito,Escitalopram,Escitalopram,Depression; Anxiety disorders,Nausea; Insomnia; Sexual dysfunction,95.00,Sun Pharma,Takes 2-4 weeks to show effect
Fluoxetine,Fluoxetine,Fluoxetine,Depression; OCD,Insomnia; Nausea; Headache,45.00,Multiple,Take in morning; Full effect in 4-6 weeks
Zoloft,Sertraline,Sertraline,Depression; Panic disorder,Nausea; Diarrhea; Insomnia,280.00,Pfizer,Take with food
Paroxetine,Paroxetine,Paroxetine,Depression; Anxiety,Weight gain; Sexual problems,120.00,Multiple,Gradual withdrawal needed
Alprazolam,Alprazolam,Alprazolam,Anxiety; Panic disorder,Drowsiness; Memory problems; Dependence,28.00,Multiple,Habit-forming; Short-term use only
Ativan,Lorazepam,Lorazepam,Anxiety; Insomnia,Drowsiness; Confusion; Dependence,65.00,Pfizer,Risk of addiction; Avoid alcohol
Clonazepam,Clonazepam,Clonazepam,Seizures; Panic disorder,Drowsiness; Dizziness; Depression,32.00,Multiple,Do not stop suddenly
Zolfresh,Zolpidem,Zolpidem,Insomnia,Drowsiness; Dizziness; Headache,85.00,Abbott,Take only at bedtime; 7-8hr sleep needed
Montair,Montelukast,Montelukast,Asthma; Allergic rhinitis,Headache; Abdominal pain,120.00,Cipla,Take in evening
Deriphyllin,Theophylline,Theophylline,Asthma; COPD,Nausea; Headache; Insomnia,45.00,Zydus Cadila,Monitor blood levels
Budecort,Budesonide,Budesonide,Asthma; Allergic rhinitis,Throat irritation; Cough,385.00,Cipla,Rinse mouth after use
Seroflo,Salmeterol + Fluticasone,Salmeterol + Fluticasone,Asthma; COPD,Throat irritation; Hoarseness,450.00,Cipla,Not for acute attacks
Levolin,Levosalbutamol,Levosalbutamol,Asthma; Bronchospasm,Tremor; Headache; Palpitations,95.00,Cipla,Use as needed for breathing difficulty
Asthalin,Salbutamol,Salbutamol,Asthma; Wheezing,Tremor; Nervousness; Palpitations,68.00,Cipla,Carry for emergency relief
Sinarest,Paracetamol + Phenylephrine + Chlorpheniramine,Paracetamol + Phenylephrine + Chlorpheniramine,Cold; Flu; Nasal congestion,Drowsiness; Dry mouth,45.00,Centaur Pharma,Avoid driving; Do not use >5 days
Cheston Cold,Paracetamol + Phenylephrine + Cetirizine,Paracetamol + Phenylephrine + Cetirizine,Cold and flu symptoms,Drowsiness; Headache,52.00,Cipla,Avoid alcohol
D Cold Total,Paracetamol + Phenylephrine + Cetirizine + Caffeine,Paracetamol + Phenylephrine + Cetirizine + Caffeine,Cold; Cough; Congestion,Insomnia; Nervousness,38.00,Paras Pharma,Take with food
Vicks Action 500,Paracetamol + Phenylephrine + Cetirizine,Paracetamol + Phenylephrine + Cetirizine,Cold and flu,Drowsiness; Dry mouth,40.00,P&G,Do not exceed recommended dose
Nasivion,Oxymetazoline,Oxymetazoline,Nasal congestion,Rebound congestion; Dryness,65.00,Merck,Do not use >3 days
Otrivin,Xylometazoline,Xylometazoline,Nasal congestion; Sinusitis,Nasal dryness; Rebound congestion,75.00,Novartis,Maximum 3 days use
Vitamin D3,Cholecalciferol,Cholecalciferol,Vitamin D deficiency; Bone health,Nausea; Constipation (high dose),120.00,Multiple,Regular monitoring if high dose
Shelcal 500,Calcium + Vitamin D3,Calcium + Vitamin D3,Bone health; Osteoporosis,Constipation; Gas,95.00,Elder Pharma,Take with food for better absorption
Becosules,Vitamin B Complex,Vitamin B Complex,Vitamin B deficiency; General weakness,Rare allergic reactions,32.00,Pfizer,Take after meals
Neurobion Forte,Vitamin B1 + B6 + B12,Vitamin B1 + B6 + B12,Nerve health; Neuropathy,Rarely nausea,45.00,Merck,Long-term use safe
Evion 400,Vitamin E,Vitamin E,Antioxidant; Skin health,Nausea; Diarrhea (high dose),150.00,Merck,Consult before long-term use
Ferrous Sulfate,Ferrous Sulfate,Ferrous Sulfate,Iron deficiency anemia,Constipation; Dark stools; Nausea,25.00,Multiple,Take on empty stomach; Avoid tea/coffee
Autrin,Iron + Folic Acid,Iron + Folic Acid,Anemia; Pregnancy,Constipation; Nausea,48.00,Pfizer,Common in pregnancy
Folvite,Folic Acid,Folic Acid,Folate deficiency; Pregnancy,Rare side effects,22.00,Abbott,Essential during pregnancy
Zincovit,Multivitamin + Zinc,Multivitamin + Zinc,Nutritional supplement,Rare stomach upset,120.00,Apex Laboratories,Take after meals
Liv 52,Herbal Liver Support,Herbal Liver Support,Liver health; Hepatoprotective,Rarely nausea,165.00,Himalaya,Long-term use considered safe
Cyclopam,Dicyclomine + Paracetamol,Dicyclomine + Paracetamol,Abdominal pain; Cramps,Dry mouth; Drowsiness,38.00,Indoco Remedies,Take before meals
Meftal Spas,Mefenamic Acid + Dicyclomine,Mefenamic Acid + Dicyclomine,Menstrual cramps; Abdominal pain,Nausea; Dizziness,52.00,Blue Cross,Take with food; Short-term use
Buscopan,Hyoscine Butylbromide,Hyoscine Butylbromide,Abdominal cramps; IBS,Dry mouth; Blurred vision,85.00,Sanofi,Avoid if glaucoma
Loperamide,Loperamide,Loperamide,Diarrhea,Constipation; Dizziness,45.00,Multiple,Do not use if bloody diarrhea
Econorm,Saccharomyces Boulardii,Saccharomyces Boulardii,Diarrhea; Gut health,Rare gas and bloating,120.00,Mankind,Safe probiotic
Sporlac,Lactobacillus,Lactobacillus,Diarrhea; Gut flora restoration,Rare bloating,85.00,Sanzyme,Take 2hrs away from antibiotics
ORS,Oral Rehydration Salts,Oral Rehydration Salts,Dehydration; Diarrhea,None significant,15.00,Multiple,Dissolve in 1L water
Electral,Electrolytes,Electrolytes,Dehydration,Rarely nausea if concentrated,18.00,FDC,Essential for severe diarrhea
Domperidone,Domperidone,Domperidone,Nausea; Vomiting,Dry mouth; Headache,25.00,Multiple,Take before meals
Ondem,Ondansetron,Ondansetron,Nausea; Vomiting (chemo/surgery),Headache; Constipation,35.00,Alkem Laboratories,Very effective anti-nausea
Avomine,Promethazine,Promethazine,Motion sickness; Nausea,Drowsiness; Dry mouth,28.00,Sanofi,Take 30min before travel
Betadine,Povidone Iodine,Povidone Iodine,Antiseptic for wounds,Skin irritation (rare),85.00,Win Medicare,External use only
Soframycin,Framycetin,Framycetin,Bacterial skin infections,Skin irritation,45.00,Sanofi,Apply thin layer
Neosporin,Neomycin + Polymyxin + Bacitracin,Neomycin + Polymyxin + Bacitracin,Wound infection prevention,Allergic reactions (rare),95.00,Johnson & Johnson,For external use only
Candid,Clotrimazole,Clotrimazole,Fungal infections; Ringworm,Skin irritation; Burning,68.00,Glenmark,Complete full course
Surfaz SN,Clotrimazole + Beclomethasone,Clotrimazole + Beclomethasone,Fungal skin infections,Skin thinning with prolonged use,125.00,Cipla,Do not use on face without advice
Terbinafine,Terbinafine,Terbinafine,Fungal nail infections,Headache; Rash; Taste changes,185.00,Multiple,Requires prolonged treatment
Itch Guard,Tolnaftate,Tolnaftate,Athlete's foot; Jock itch,Rare skin irritation,45.00,Paras Pharma,Keep area dry
